pathway	pval	padj	overlap	size	overlapGenes	Pathway_Set	Significance
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.000231635057263771	0.0353454280728961	19	255	CCL13,CCL17,CCL2,CCL5,CCR2,CX3CL1,CXCL1,CXCL10,CXCL13,CXCL9,IL12RB2,IL21R,IL6ST,IL7R,KITLG,TNFRSF21,TNFRSF8,TNFSF13B,TNFSF14	KEGG_LEGACY	Significant
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.000380058366375227	0.0353454280728961	15	183	ADCY9,CCL13,CCL17,CCL2,CCL5,CCR2,CX3CL1,CXCL1,CXCL10,CXCL13,CXCL9,LYN,MAPK1,PRKX,STAT1	KEGG_LEGACY	Significant
KEGG_TYPE_I_DIABETES_MELLITUS	0.00123748024360653	0.0621204443004249	6	41	CPE,GZMB,HLA-C,HLA-DOB,HLA-E,HLA-F	KEGG_LEGACY	Not Significant
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.00133592353334247	0.0621204443004249	11	126	ALCAM,CDH3,HLA-C,HLA-DOB,HLA-E,HLA-F,ICAM2,ICOS,ITGA9,ITGB7,PDCD1	KEGG_LEGACY	Not Significant
KEGG_ALLOGRAFT_REJECTION	0.00351926323952157	0.109097160425169	5	35	GZMB,HLA-C,HLA-DOB,HLA-E,HLA-F	KEGG_LEGACY	Not Significant
KEGG_GRAFT_VERSUS_HOST_DISEASE	0.00351926323952157	0.109097160425169	5	35	GZMB,HLA-C,HLA-DOB,HLA-E,HLA-F	KEGG_LEGACY	Not Significant
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	0.00509080308956453	0.135269910665572	4	24	CD38,ENPP1,NT5C2,NUDT12	KEGG_LEGACY	Not Significant
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.00702520490188285	0.163336013968776	5	41	HSD11B1,IRS1,MAPK1,NEDD4L,SCNN1A	KEGG_LEGACY	Not Significant
KEGG_AUTOIMMUNE_THYROID_DISEASE	0.0103999735876236	0.214932787477553	5	45	GZMB,HLA-C,HLA-DOB,HLA-E,HLA-F	KEGG_LEGACY	Not Significant
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	0.0134475153096369	0.250123784759246	6	66	ATP6V0A2,ATP6V1G2,CCL5,CXCL1,LYN,PLCG2	KEGG_LEGACY	Not Significant
