pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_ALLOGRAFT_REJECTION	1.70662364385579e-09	9.66923094761237e-08	0.788186810800237	0.784511509295848	2.48923209575671	35	GZMB;IFNG;HLA-DOB;HLA-F;HLA-E;HLA-DQA1;FASLG;HLA-C;HLA-DPB1;CD40LG;HLA-DPA1;PRF1;HLA-DMA;HLA-DRB5;HLA-DRB1;HLA-DQA2;TNF;HLA-A;HLA-DQB1;HLA-DRA;CD40;HLA-G;FAS;CD28;HLA-B
KEGG_GRAFT_VERSUS_HOST_DISEASE	2.07940450486288e-09	9.66923094761237e-08	0.774939030136436	0.78234100364888	2.48234514476054	35	GZMB;IFNG;HLA-DOB;HLA-F;HLA-E;HLA-DQA1;FASLG;HLA-C;HLA-DPB1;HLA-DPA1;PRF1;HLA-DMA;HLA-DRB5;HLA-DRB1;HLA-DQA2;KLRC1;TNF;KLRD1;HLA-A;HLA-DQB1;HLA-DRA;IL1B;HLA-G;FAS;CD28;HLA-B
KEGG_PRIMARY_IMMUNODEFICIENCY	6.82264081743501e-09	1.41001243560323e-07	0.761460801445585	0.769505914319421	2.44161978135641	35	CD19;IGLL1;LCK;TAP1;CD79A;CD3D;ICOS;ZAP70;IL7R;IL2RG;CD40LG;CD40;CD8A;CD8B;ADA;TNFRSF13C;TAP2;RFX5;BTK;PTPRC;JAK3;CIITA;UNG;DCLRE1C;BLNK;IKBKG;TNFRSF13B
KEGG_LEISHMANIA_INFECTION	3.75909682018262e-09	1.39838401710794e-07	0.761460801445585	0.658100299238119	2.35592843215678	68	STAT1;IFNG;HLA-DOB;HLA-DQA1;CYBA;PRKCB;HLA-DPB1;NCF1;HLA-DPA1;NCF4;HLA-DMA;HLA-DRB5;HLA-DRB1;MYD88;HLA-DQA2;PTPN6;TNF;MARCKSL1;HLA-DQB1;C3;HLA-DRA;TLR2;IL1B;IRAK1;MAPK1;NFKBIB;NCF2;JAK2;FCGR3B;ITGAM;IFNGR1;NFKB1;IL12A;MAP3K7;HLA-DMB;IL10;MAPK13;PTGS2;FCGR2A
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	5.99647797036745e-09	1.41001243560323e-07	0.761460801445585	0.650096825203322	2.34694517288048	72	TAP1;HLA-DOB;HLA-F;HLA-E;HLA-DQA1;CD74;CTSS;HLA-C;HLA-DPB1;HLA-DPA1;IFI30;HLA-DMA;HLA-DRB5;HLA-DRB1;KLRC2;HLA-DQA2;KLRC1;KLRD1;HLA-A;KLRC4;HLA-DQB1;HLA-DRA;B2M;CD8A;HLA-G;CD8B;TAPBP;TAP2;RFX5;HLA-B;KLRC3;CTSL;LGMN;HSPA6;NFYA;CIITA;CALR;HLA-DMB;NFYC;LTA;HSP90AB1;PSME2;PSME3
KEGG_AUTOIMMUNE_THYROID_DISEASE	5.10960794272553e-07	7.91989231122457e-06	0.659444398037935	0.69103858530158	2.3095078020812	45	GZMB;HLA-DOB;HLA-F;HLA-E;HLA-DQA1;FASLG;HLA-C;HLA-DPB1;CD40LG;HLA-DPA1;CTLA4;PRF1;HLA-DMA;HLA-DRB5;HLA-DRB1;HLA-DQA2;HLA-A;HLA-DQB1;HLA-DRA;CD40;HLA-G;FAS;CD28;HLA-B
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	1.67960522258026e-06	2.23147550999949e-05	0.643551836150722	0.674004422584842	2.25257822892422	45	TNFRSF17;ITGB7;ICOS;HLA-DOB;TNFSF13B;HLA-DQA1;IL15;HLA-DPB1;CD40LG;HLA-DPA1;HLA-DMA;HLA-DRB5;HLA-DRB1;HLA-DQA2;CXCR4;HLA-DQB1;HLA-DRA;CD40;IL15RA;CD28;TNFRSF13C;IL6;LTBR;TNFSF13;HLA-DMB;IL10
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	4.45076450123504e-07	7.52583815663379e-06	0.674962860011025	0.639640556516472	2.24525405047916	60	CCL13;CCL7;CCL5;CXCL1;CCL8;CCL2;BIRC3;CASP1;PSTPIP1;TNF;RIPK2;CXCL2;IL1B;MAPK1;NFKBIB;IL18;CASP5;TRIP6;CARD6;TNFAIP3;IL6;NLRP3;NOD1;NFKB1;PYDC1;MAP3K7;BIRC2;PYCARD;HSP90B1;MAPK13;HSP90AB1;NOD2
KEGG_CHEMOKINE_SIGNALING_PATHWAY	2.11105906136883e-11	1.96328492707301e-09	0.863415391606693	0.537520495897443	2.23888766995138	183	CCL13;CXCL13;CXCL9;CCL18;CCL19;CXCL10;CCL7;SHC4;CCR7;CCL5;CCL17;CXCL1;CCL8;PRKX;STAT1;CX3CL1;CCL2;XCL2;CXCR6;LYN;CXCL11;CCR2;CCR5;CCL4;CXCR5;XCL1;CCL21;PRKCB;CXCR3;PLCB4;TIAM2;HCK;NCF1;CCL3;VAV1;CXCR4;ITK;CCL3L3;RAC2;CXCL16;CSK;CXCL2;RASGRP2;FGR;ARRB2;NRAS;MAPK1;NFKBIB;CCR1;GNGT2;GNG5;JAK2;STAT3;RAF1
KEGG_TYPE_I_DIABETES_MELLITUS	1.51453823151203e-06	2.16695470047107e-05	0.643551836150722	0.671974127453332	2.21214575453953	41	GZMB;IFNG;HLA-DOB;HLA-F;HLA-E;HLA-DQA1;FASLG;HLA-C;HLA-DPB1;HLA-DPA1;PRF1;HLA-DMA;HLA-DRB5;HLA-DRB1;HLA-DQA2;TNF;HLA-A;HLA-DQB1;HLA-DRA;IL1B;HLA-G;FAS;CD28;HLA-B
