pathway	pval	padj	overlap	size	overlapGenes	Pathway_Set	Significance	Treatment
HALLMARK_ADIPOGENESIS	1	1	0	192		Hallmark	Not Significant	IO+chemo
HALLMARK_ALLOGRAFT_REJECTION	1	1	0	195		Hallmark	Not Significant	IO+chemo
HALLMARK_ANDROGEN_RESPONSE	1	1	0	96		Hallmark	Not Significant	IO+chemo
HALLMARK_ANGIOGENESIS	1	1	0	36		Hallmark	Not Significant	IO+chemo
HALLMARK_APICAL_JUNCTION	1	1	0	190		Hallmark	Not Significant	IO+chemo
HALLMARK_APICAL_SURFACE	1	1	0	43		Hallmark	Not Significant	IO+chemo
HALLMARK_APOPTOSIS	1	1	0	159		Hallmark	Not Significant	IO+chemo
HALLMARK_BILE_ACID_METABOLISM	1	1	0	112		Hallmark	Not Significant	IO+chemo
HALLMARK_CHOLESTEROL_HOMEOSTASIS	1	1	0	72		Hallmark	Not Significant	IO+chemo
HALLMARK_COAGULATION	1	1	0	137		Hallmark	Not Significant	IO+chemo
HALLMARK_COMPLEMENT	1	1	0	198		Hallmark	Not Significant	IO+chemo
HALLMARK_DNA_REPAIR	1	1	0	145		Hallmark	Not Significant	IO+chemo
HALLMARK_E2F_TARGETS	1	1	0	195		Hallmark	Not Significant	IO+chemo
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1	1	0	195		Hallmark	Not Significant	IO+chemo
HALLMARK_ESTROGEN_RESPONSE_EARLY	1	1	0	190		Hallmark	Not Significant	IO+chemo
HALLMARK_ESTROGEN_RESPONSE_LATE	1	1	0	192		Hallmark	Not Significant	IO+chemo
HALLMARK_FATTY_ACID_METABOLISM	1	1	0	152		Hallmark	Not Significant	IO+chemo
HALLMARK_G2M_CHECKPOINT	1	1	0	188		Hallmark	Not Significant	IO+chemo
HALLMARK_GLYCOLYSIS	1	1	0	197		Hallmark	Not Significant	IO+chemo
HALLMARK_HEDGEHOG_SIGNALING	1	1	0	35		Hallmark	Not Significant	IO+chemo
HALLMARK_HEME_METABOLISM	1	1	0	189		Hallmark	Not Significant	IO+chemo
HALLMARK_HYPOXIA	1	1	0	191		Hallmark	Not Significant	IO+chemo
HALLMARK_IL2_STAT5_SIGNALING	1	1	0	194		Hallmark	Not Significant	IO+chemo
HALLMARK_IL6_JAK_STAT3_SIGNALING	1	1	0	87		Hallmark	Not Significant	IO+chemo
HALLMARK_INFLAMMATORY_RESPONSE	1	1	0	197		Hallmark	Not Significant	IO+chemo
HALLMARK_INTERFERON_ALPHA_RESPONSE	1	1	0	94		Hallmark	Not Significant	IO+chemo
HALLMARK_INTERFERON_GAMMA_RESPONSE	1	1	0	194		Hallmark	Not Significant	IO+chemo
HALLMARK_KRAS_SIGNALING_DN	1	1	0	191		Hallmark	Not Significant	IO+chemo
HALLMARK_KRAS_SIGNALING_UP	1	1	0	191		Hallmark	Not Significant	IO+chemo
HALLMARK_MITOTIC_SPINDLE	1	1	0	197		Hallmark	Not Significant	IO+chemo
HALLMARK_MTORC1_SIGNALING	1	1	0	194		Hallmark	Not Significant	IO+chemo
HALLMARK_MYC_TARGETS_V1	1	1	0	193		Hallmark	Not Significant	IO+chemo
HALLMARK_MYC_TARGETS_V2	1	1	0	57		Hallmark	Not Significant	IO+chemo
HALLMARK_MYOGENESIS	1	1	0	196		Hallmark	Not Significant	IO+chemo
HALLMARK_NOTCH_SIGNALING	1	1	0	32		Hallmark	Not Significant	IO+chemo
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1	1	0	184		Hallmark	Not Significant	IO+chemo
HALLMARK_P53_PATHWAY	1	1	0	191		Hallmark	Not Significant	IO+chemo
HALLMARK_PANCREAS_BETA_CELLS	1	1	0	40		Hallmark	Not Significant	IO+chemo
HALLMARK_PEROXISOME	1	1	0	104		Hallmark	Not Significant	IO+chemo
HALLMARK_PI3K_AKT_MTOR_SIGNALING	1	1	0	104		Hallmark	Not Significant	IO+chemo
HALLMARK_PROTEIN_SECRETION	1	1	0	94		Hallmark	Not Significant	IO+chemo
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	1	1	0	47		Hallmark	Not Significant	IO+chemo
HALLMARK_SPERMATOGENESIS	1	1	0	132		Hallmark	Not Significant	IO+chemo
HALLMARK_TGF_BETA_SIGNALING	1	1	0	54		Hallmark	Not Significant	IO+chemo
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1	1	0	197		Hallmark	Not Significant	IO+chemo
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1	1	0	106		Hallmark	Not Significant	IO+chemo
HALLMARK_UV_RESPONSE_DN	1	1	0	138		Hallmark	Not Significant	IO+chemo
HALLMARK_UV_RESPONSE_UP	1	1	0	154		Hallmark	Not Significant	IO+chemo
HALLMARK_WNT_BETA_CATENIN_SIGNALING	1	1	0	42		Hallmark	Not Significant	IO+chemo
HALLMARK_XENOBIOTIC_METABOLISM	1	1	0	194		Hallmark	Not Significant	IO+chemo
