pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_GRAFT_VERSUS_HOST_DISEASE	1.14830549264277e-15	7.11949405438518e-14	1.01754479730988	0.883247070647701	2.69744430238713	35	GZMB;HLA-DRA;HLA-F;HLA-DPA1;FASLG;IFNG;HLA-DRB1;HLA-DRB5;HLA-E;HLA-DQA2;HLA-A;HLA-DMA;HLA-DPB1;HLA-DQA1;HLA-C;HLA-B;HLA-DOB;HLA-DQB1;KLRC1;IL1B;TNF;PRF1;HLA-DMB;IL6;HLA-DOA;HLA-G;FAS;KLRD1;CD28
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	5.23223523765533e-25	9.73195754203891e-23	1.29512308741004	0.639686429446783	2.66404562848649	255	CCL18;CXCL9;CXCL13;TNFRSF17;CCL13;CXCL10;CCL5;CXCL11;CD27;IL21R;CCL8;CCR7;LTB;CCL4;IL2RB;CXCR3;CCR5;CCL17;CXCR6;CXCL1;CCL19;TNFSF13B;CCL2;IL12RB2;CD70;XCL2;FASLG;XCL1;IFNG;IL10RA;CCL7;CCL3;CCL3L3;IL2RG;TNFRSF8;IL7R;CCR2;TNFRSF21;IL18RAP;IL2RA;TNFSF14;TNFRSF4;CXCR4;IL1B;OSM;IL15;CD40;TNF;CXCR5;IL15RA;CCR1;IL18;IL23A;TNFSF10;TNFRSF9;IL22RA2;PLEKHO2;CCL20;IL6;CX3CL1;VEGFA;IFNGR1;TNFRSF25;IL6R;CSF1R;IL17RA;IL3RA;FAS;CXCL16;IFNAR2;CSF2RA;CCL11;IL7;IFNL2;CCL21;TNFRSF13C;BMP7;RELT;MET;IL10;TNFRSF1B;CCL23;CXCL2;IL4R;TNFRSF6B
KEGG_LEISHMANIA_INFECTION	1.05681182092697e-13	3.27611664487362e-12	0.954541630725724	0.759205847382875	2.61877181205721	68	STAT1;HLA-DRA;HLA-DPA1;IFNG;HLA-DRB1;HLA-DRB5;HLA-DQA2;HLA-DMA;HLA-DPB1;NCF1;HLA-DQA1;HLA-DOB;TLR2;HLA-DQB1;FCGR3A;PRKCB;NCF2;IL1B;FCGR3B;TNF;NCF4;C3;CYBA;ITGB2;HLA-DMB;ITGAM;FCGR2A;IFNGR1;HLA-DOA;MAPK1;JAK2;IL10;MYD88;NFKBIB;IFNGR2;TLR4;PTGS2;ITGA4;NFKBIA;NFKB1;MAP3K7;PTPN6;MARCKSL1;MAPK13
KEGG_ALLOGRAFT_REJECTION	6.90929104196314e-13	1.83589733400735e-11	0.921426003494898	0.853724755601302	2.60728289323942	35	GZMB;HLA-DRA;HLA-F;HLA-DPA1;FASLG;IFNG;HLA-DRB1;HLA-DRB5;HLA-E;HLA-DQA2;HLA-A;HLA-DMA;HLA-DPB1;HLA-DQA1;HLA-C;HLA-B;HLA-DOB;HLA-DQB1;CD40;TNF;PRF1;HLA-DMB;HLA-DOA;HLA-G;FAS;CD28;IL10
KEGG_CELL_ADHESION_MOLECULES_CAMS	7.5502153462346e-15	3.51085013599909e-13	0.986546283587582	0.668768662586569	2.54778925451388	126	CD2;CDH3;PDCD1;ICOS;ICAM1;CD6;HLA-DRA;HLA-F;CD8A;HLA-DPA1;HLA-DRB1;HLA-DRB5;HLA-E;HLA-DQA2;VCAM1;HLA-A;HLA-DMA;ITGB7;HLA-DPB1;HLA-DQA1;HLA-C;HLA-B;HLA-DOB;SDC1;HLA-DQB1;CD274;CD8B;SPN;CD40;SELPLG;ITGA6;ITGAL;CTLA4;ICAM2;ITGB2;PTPRC;HLA-DMB;ITGAM;HLA-DOA;HLA-G;SELL;CLDN1;ICAM3;CD28;F11R;CLDN10;ITGA9;CD40LG;CD58;CDH1;CLDN23;ITGA4;MPZL1;CLDN4;SIGLEC1;CLDN14;SELE;CD4;GLG1;CD99
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	1.77111560412598e-11	3.66030558186037e-10	0.863415391606693	0.789268021946653	2.54465239044418	45	TNFRSF17;ICOS;HLA-DRA;TNFSF13B;HLA-DPA1;HLA-DRB1;HLA-DRB5;HLA-DQA2;HLA-DMA;ITGB7;HLA-DPB1;HLA-DQA1;HLA-DOB;HLA-DQB1;CXCR4;IL15;CD40;IL15RA;HLA-DMB;IL6;HLA-DOA;CD28;TNFRSF13C;IL10;CD40LG;TNFSF13;ITGA4;AICDA
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	5.13091801484726e-12	1.19293843845199e-10	0.887074988399873	0.729072286116519	2.53813973328044	72	TAP1;HLA-DRA;HLA-F;CD8A;HLA-DPA1;HLA-DRB1;IFI30;HLA-DRB5;HLA-E;HLA-DQA2;CD74;HLA-A;HLA-DMA;HLA-DPB1;HLA-DQA1;HLA-C;HLA-B;HLA-DOB;HLA-DQB1;CTSS;KLRC1;CD8B;CIITA;KLRC4;CTSL;KLRC2;B2M;HLA-DMB;LGMN;HLA-DOA;HLA-G;CTSB;KLRD1;KLRC3;TAP2;PSME2;HSPA6
KEGG_PRIMARY_IMMUNODEFICIENCY	3.34675860063986e-11	6.22497099719014e-10	0.851339057116899	0.83054340555235	2.5364868468225	35	IGLL1;CD19;CD79A;CD3D;TAP1;LCK;ICOS;CD8A;ZAP70;IL2RG;IL7R;CD8B;CIITA;CD40;PTPRC;JAK3;ADA;BTK;TNFRSF13C;BLNK;TAP2;CD40LG;CD3E;AICDA;CD4
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	2.80712194465104e-14	1.04424936341019e-12	0.97599468306432	0.661262660914543	2.50957466100032	122	GZMB;LCK;CD247;ICAM1;HCST;PLCG2;FASLG;IFNG;ZAP70;CD48;HLA-E;SYK;LCP2;HLA-A;VAV1;HLA-C;HLA-B;SH2D1A;FCGR3A;PRKCB;KLRC1;RAC2;FCER1G;LAT;FCGR3B;TNF;PRF1;FYN;KLRC2;ITGAL;TYROBP;TNFSF10;ICAM2;ITGB2;IFNGR1;BID;HLA-G;FAS;MAPK1;KLRD1;IFNAR2;PIK3CG;NCR3;KLRK1;KLRC3;IFNGR2;SHC4;PIK3CD;CD244;PTK2B;CASP3;SH2D1B
KEGG_TYPE_I_DIABETES_MELLITUS	5.30818121639051e-10	7.59478235575874e-09	0.801215574617779	0.789672601929153	2.48722774961366	41	GZMB;HLA-DRA;HLA-F;HLA-DPA1;FASLG;IFNG;HLA-DRB1;HLA-DRB5;HLA-E;HLA-DQA2;HLA-A;HLA-DMA;HLA-DPB1;HLA-DQA1;HLA-C;HLA-B;HLA-DOB;HLA-DQB1;IL1B;TNF;PRF1;HLA-DMB;HLA-DOA;HLA-G;FAS;CD28
KEGG_AUTOIMMUNE_THYROID_DISEASE	2.77058394176225e-10	4.29440510973149e-09	0.814035837847908	0.770551697489502	2.48430972046909	45	GZMB;HLA-DRA;HLA-F;HLA-DPA1;FASLG;HLA-DRB1;HLA-DRB5;HLA-E;HLA-DQA2;HLA-A;HLA-DMA;HLA-DPB1;HLA-DQA1;HLA-C;HLA-B;HLA-DOB;HLA-DQB1;CD40;PRF1;CTLA4;HLA-DMB;HLA-DOA;HLA-G;FAS;CD28;IL10
KEGG_CHEMOKINE_SIGNALING_PATHWAY	3.95422427935506e-16	3.67742857980021e-14	1.03769615548758	0.617188321692441	2.48210294170492	183	CCL18;CXCL9;CXCL13;CCL13;CXCL10;CCL5;CXCL11;CCL8;CCR7;CCL4;CXCR3;CCR5;CCL17;CXCR6;STAT1;CXCL1;CCL19;CCL2;XCL2;XCL1;PRKX;CCL7;CCL3;CCL3L3;VAV1;NCF1;LYN;CCR2;PRKCB;RASGRP2;CXCR4;RAC2;TIAM2;ITK;CXCR5;FGR;CCR1;HCK;GRK6;ADCY7;JAK3;CCL20;CX3CL1;GNB4;MAPK1;CXCL16;CCL11;PIK3CG;GNGT2;CCL21;WAS;JAK2;ARRB2;PLCB2;CSK;GNG4;CCL23;NFKBIB;TIAM1;CXCL2;STAT2;GRK5;PLCB4;SHC4;PIK3CD;PTK2B;NFKBIA;CCR6;ELMO1;FOXO3;DOCK2;NFKB1;GNG7
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	6.04925947601462e-10	8.036873303848e-09	0.801215574617779	0.723403755225098	2.44014540096486	60	CCL13;CCL5;CCL8;CXCL1;CCL2;BIRC3;CCL7;PSTPIP1;CASP1;IL1B;TNF;TNFAIP3;CASP5;IL18;IL6;CARD6;MAPK1;CARD9;CCL11;NOD2;RIPK2;NFKBIB;CXCL2;HSP90B1;NFKBIA;NLRC4;NLRP3;NFKB1;MAP3K7;NOD1;MAPK13
KEGG_HEMATOPOIETIC_CELL_LINEAGE	1.07659952675357e-10	1.82043192705603e-09	0.839088935621274	0.671479885653046	2.41572804480197	84	CD38;CD19;CD2;CD3D;CD3G;HLA-DRA;CD8A;CD5;HLA-DRB1;HLA-DRB5;TFRC;IL7R;IL2RA;CD8B;IL1B;CD14;CD37;MS4A1;TNF;CD7;ITGA6;ITGAM;IL6;CD44;IL6R;CSF1R;IL3RA;CSF2RA;IL7;CR2;IL4R;IL1R2;GP1BA;ITGA4;CD1A;CD1E;CD1B;CD3E;CD4;MME
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	2.34186696952847e-07	2.56227797842527e-06	0.690132458796796	0.694458629877521	2.28706048992558	51	C1QB;C1QA;HLA-DRA;HLA-DPA1;IFNG;HLA-DRB1;HLA-DRB5;HLA-DQA2;C1QC;C2;HLA-DMA;HLA-DPB1;HLA-DQA1;HLA-DOB;HLA-DQB1;FCGR3A;FCGR2B;C1S;CD40;FCGR3B;TNF;C3;HLA-DMB;C1R;FCGR2A;HLA-DOA;CD28;IL10;SNRPB;CD40LG
KEGG_ASTHMA	1.66671934775551e-06	1.72227665934736e-05	0.643551836150722	0.775774146719553	2.25429219030701	28	HLA-DRA;HLA-DPA1;HLA-DRB1;HLA-DRB5;HLA-DQA2;HLA-DMA;HLA-DPB1;HLA-DQA1;HLA-DOB;HLA-DQB1;FCER1G;CD40;TNF;HLA-DMB;HLA-DOA;CCL11;IL10;CD40LG
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	6.51509942712151e-08	7.57380308402876e-07	0.704975715167238	0.602404166066801	2.19951142076723	95	CXCL9;CXCL10;CCL5;CXCL11;CCL4;STAT1;CCL3;TLR2;IL1B;CD14;CD40;TNF;TLR8;TLR1;IL6;IRF5;LY96;MAPK1;IFNAR2;LBP;PIK3CG;MAP3K8;MYD88;TLR6;TLR4;PIK3CD;NFKBIA;NFKB1;MAP2K3;MAP3K7;TLR9;MAPK13
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	4.0358713357143e-08	5.00448045628573e-07	0.719512826338911	0.58522951350556	2.18485039078445	106	CD3D;PDCD1;LCK;ICOS;CD3G;CD247;CD8A;IFNG;ZAP70;LCP2;VAV1;CD8B;NFKBIE;ITK;LAT;TNF;FYN;CTLA4;PTPRC;PRKCQ;MAPK1;PIK3CG;MAP3K8;CD28;IL10;NFKBIB;CARD11;RASGRP1;NCK1;CD40LG;PIK3CD;NFKBIA;CD3E;CBL;NFKB1;CD4;NRAS;MAP3K7;PTPN6;NCK2
KEGG_VIRAL_MYOCARDITIS	2.52532302315868e-06	2.47215832793428e-05	0.627256739718528	0.61909078918422	2.13546499069873	68	ICAM1;HLA-DRA;HLA-F;HLA-DPA1;HLA-DRB1;HLA-DRB5;HLA-E;HLA-DQA2;HLA-A;HLA-DMA;HLA-DPB1;HLA-DQA1;HLA-C;HLA-B;HLA-DOB;HLA-DQB1;RAC2;CD40;PRF1;FYN;ITGAL;ITGB2;HLA-DMB;BID;HLA-DOA;HLA-G;CD28;CXADR;MYH3;CD40LG;EIF4G1;CASP3;MYH7;ACTB
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	4.55988115550932e-06	4.24068947462367e-05	0.610526878385931	0.584885271200735	2.04516699591377	75	CD19;CD79A;DAPP1;PLCG2;LILRB3;CD79B;SYK;INPP5D;VAV1;LYN;PRKCB;FCGR2B;RAC2;NFKBIE;CD72;BTK;MAPK1;PIK3CG;CR2;NFKBIB;CARD11;BLNK;PIK3CD;RASGRP3;NFKBIA;NFKB1;NRAS;PTPN6
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	2.88496070992524e-05	0.000255525091450521	0.575610261071129	0.624971444245305	2.03992102183738	47	CXCL10;CCL5;AIM2;CCL4;ZBP1;CASP1;IL1B;IL18;IL6;NFKBIB;NFKBIA;NFKB1;ADAR;POLR1C;POLR3D;IKBKG;IRF7;IL33
KEGG_PROTEASOME	7.69862815591023e-05	0.000572777934799721	0.538434096309916	0.64235592254738	2.02820539462323	42	PSMD3;PSMB9;IFNG;PSMB3;PSMB8;PSMB10;PSME4;PSMB2;PSME2;PSMD11;PSMD2;PSMA3;PSMB4;PSMB5;PSMA4;PSMC2;PSMD7;PSMD14;PSMA7;PSMC4;PSMB7;PSMD12;PSMB6;PSMD8;PSMA5;PSMB1;PSMC1
