pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY	3.10701209729022e-08	9.61620244111323e-06	0.719512826338911	0.729984637553066	2.3541124586093	44	IL2RB;STAT1;IL12RB2;IFNG;IL2RG;PIM1;IL7R;IL2RA;IL15;IL15RA;IL23A;JAK3;IL6;IFNGR1;IL6R;IL3RA;STAT5A;IFNAR2;IL7;JAK2;STAT4;STAT2;IL4R;IFNGR2
KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES	1.01725750378346e-09	6.29682394841964e-07	0.788186810800237	0.942625755674689	2.26527764952045	13	HLA-DRA;HLA-DPA1;HLA-DRB1;HLA-DRB5;HLA-DQA2;CD74;HLA-DMA;HLA-DPB1;HLA-DQA1;HLA-DOB;HLA-DQB1;HLA-DMB;HLA-DOA
KEGG_MEDICUS_REFERENCE_IL2_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY	2.03033384938948e-06	0.000251355330554417	0.627256739718528	0.792787212944094	2.20801614983157	23	IL21R;IL2RB;STAT1;IL2RG;IL7R;IL2RA;IL15;IL15RA;JAK3;STAT5A;IL7;IL4R
KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_NFY_MEDIATED_TRANSCRIPTION	5.61540398892706e-08	1.15864502304862e-05	0.719512826338911	0.917557198235592	2.2050339711246	13	HLA-DRA;HLA-DPA1;HLA-DRB1;HLA-DRB5;HLA-DQA2;HLA-DMA;HLA-DPB1;HLA-DQA1;HLA-DOB;HLA-DQB1;HLA-DMB;HLA-DOA
KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING	9.45515258282788e-06	0.000975456574795077	0.593325476396405	0.767725749504466	2.15255499376145	24	CCNE1;CDC45;CDT1;MCM2;MCM5;MCM6;MCM3;MCM4;CCNA2;CCNE2;TICRR;ORC6;MCM7;CDC7;CDC6;ORC3
KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION	5.059986342879e-05	0.00261010962186842	0.557332238758646	0.695811486950886	2.05935594961027	30	CDC45;MCM10;MCM2;MCM5;MCM6;MCM3;MCM4;RFC4;MCM7;PCNA;WDHD1;PRIM2;RFC2;GINS1;GINS2;POLA2;RFC3;RPA2;RPA1;POLE2;GINS3;GINS4;POLE3
KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION	5.01793531891398e-05	0.00261010962186842	0.557332238758646	0.7776543093911	2.05525576977683	18	CDC45;MCM2;MCM5;MCM6;MCM3;MCM4;PIF1;MCM7;VCP;GINS1;GINS2;LRR1;CUL2;GINS3;GINS4
KEGG_MEDICUS_PATHOGEN_HTLV_1_P12_TO_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	1.72400257934932e-05	0.00133394699577154	0.575610261071129	0.940250855188141	1.98272196164665	7	HLA-F;HLA-E;HLA-A;HLA-C;HLA-B;B2M;HLA-G
KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY	0.000357498304124458	0.0125751205271998	0.49849310876659	0.738571382172285	1.96656070578626	19	CD3D;LCK;CD3G;CD247;PLCG2;ZAP70;LCP2;VAV1;LAT;FYN;ITPR3
KEGG_MEDICUS_PATHOGEN_HPV_E5_TO_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	2.99915707135978e-05	0.00206275358574633	0.575610261071129	0.932238527035331	1.96582623759084	7	HLA-F;HLA-E;HLA-A;HLA-C;HLA-B;HLA-G
KEGG_MEDICUS_REFERENCE_BREAK_INDUCED_REPLICATION	1.40651249735147e-05	0.00124375890837223	0.593325476396405	0.920197682399219	1.96462250234865	8	MCM2;MCM5;MCM6;MCM3;MCM4;PIF1;MCM7
KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	8.51066126398671e-05	0.00405238409415983	0.538434096309916	0.832250749880717	1.96307958934537	12	TAP1;HLA-F;HLA-E;HLA-A;HLA-C;HLA-B;B2M;HLA-G;TAP2;CALR;TAPBP
KEGG_MEDICUS_PATHOGEN_SARS_COV_2_S_TO_ANGII_AT1R_NOX2_SIGNALING_PATHWAY	0.000300868743917619	0.0116398595303129	0.49849310876659	0.806936943530277	1.93919613563192	13	MMP1;CCL2;MMP3;ACE2;CYBB;IL1B;TNF;IL6
KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_PRNP_PI3K_NOX2_SIGNALING_PATHWAY	0.000146201335023438	0.00603324175863386	0.518848077743792	0.76602153787266	1.93784245120074	16	CYBB;NCF1;NCF2;RAC2;NCF4;FYN;CYBA;PIK3CD
KEGG_MEDICUS_REFERENCE_IFN_RIPK1_3_SIGNALING_PATHWAY	0.000429557301374853	0.0139945247132123	0.49849310876659	0.673184605928822	1.92745525896299	26	STAT1;IFNG;JAK3;IFNGR1;STAT5A;IFNAR2;JAK2;STAT4;STAT2;IFNGR2
KEGG_MEDICUS_PATHOGEN_KSHV_MIR1_2_TO_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	3.52376125016096e-05	0.00218120821384964	0.557332238758646	0.940197252152101	1.92674224377156	6	HLA-F;HLA-E;HLA-A;HLA-C;HLA-B;HLA-G
KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY	0.000365673941017117	0.0125751205271998	0.49849310876659	0.770998090923432	1.9198712398406	15	CDC45;MCM2;MCM5;MCM6;MCM3;MCM4;MCM7;VCP;GINS1;GINS2;GINS3;GINS4
KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNA12_13_RHO_SIGNALING_PATHWAY	0.000490435881660776	0.015178990537401	0.477270815362862	0.794676394531408	1.9097321119186	13	CCL5;CCL4;CCL2;CCL3;CX3CL1
KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION	0.000948107829410773	0.0229892360818299	0.477270815362862	0.658482245031676	1.90936628303444	27	CDC45;CDT1;MCM2;MCM5;MCM6;MCM3;MCM4;TICRR;ORC6;MCM7;CDC6;ORC3;GINS1;GINS2;ORC1;POLE2;GINS3;GINS4;POLE3
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	0.000718590500244094	0.0202185236205043	0.477270815362862	0.614007958136184	1.88206098398761	35	PSMD3;PSMB3;PSMB2;PSMD11;APP;PSMD2;PSMA3;PSMB4;PSMB5;PSMA4;PSMC2;PSMD7;PSMD14;ADRM1;PSMA7;PSMC4;PSMB7;PSMD12;PSMB6;PSMD8;PSMA5;PSMB1;PSMC1;PSMA6
KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	0.000843561273179021	0.0227028012216441	0.477270815362862	0.610684616376908	1.87187425630973	35	PSMD3;PSMB3;PSMB2;PSMD11;PSMD2;PSMA3;PSMB4;PSMB5;PSMA4;PSMC2;PSMD7;PSMD14;ADRM1;PSMA7;PSMC4;PSMB7;PSMD12;PSMB6;PSMD8;PSMA5;PRNP;PSMB1;PSMC1;PSMA6
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	0.000609116120297237	0.0179544227839995	0.477270815362862	0.595025164822754	1.86146393714589	39	PSMD3;PSMB3;PSMB2;PSMD11;PSMD2;VCP;PSMA3;PSMB4;PSMB5;PSMA4;PSMC2;PSMD7;PSMD14;ADRM1;PSMA7;PSMC4;PSMB7;PSMD12;PSMB6;PSMD8;PSMA5;PSMB1;PSMC1;PSMA6
