pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_LEISHMANIA_INFECTION	3.46538655483237e-19	6.44561899198821e-17	1.13308993200902	0.725897505749127	3.36075864298652	68	HLA-DRB5;HLA-DQA2;HLA-DRB1;HLA-DRA;HLA-DMA;HLA-DPA1;HLA-DQA1;HLA-DQB1;HLA-DPB1;C3;NCF2;IL1B;IFNG;STAT1;TLR2;FCGR3A;IFNGR1;FCGR3B;TNF;FOS;NCF4;HLA-DOB;JAK2;ITGB2;PTPN6;NCF1;HLA-DMB;HLA-DOA;CYBA;FCGR2A;TGFB1;IFNGR2;IRAK1;ITGAM;JUN;ITGB1;MAP3K7;MAPK1;TGFB2
KEGG_ALLOGRAFT_REJECTION	8.92734645985599e-15	2.76747740255536e-13	0.986546283587582	0.80762240365957	3.21557909044992	35	GZMB;HLA-DRB5;HLA-DQA2;HLA-DRB1;HLA-DRA;HLA-DMA;HLA-DPA1;HLA-F;HLA-DQA1;HLA-DQB1;HLA-DPB1;HLA-A;HLA-E;IFNG;CD40;HLA-C;HLA-B;FASLG;TNF;FAS;HLA-DOB;HLA-DMB;HLA-DOA
KEGG_GRAFT_VERSUS_HOST_DISEASE	1.31719902913892e-14	3.062487742748e-13	0.986546283587582	0.804941077131087	3.20490328764827	35	GZMB;HLA-DRB5;HLA-DQA2;HLA-DRB1;HLA-DRA;HLA-DMA;HLA-DPA1;HLA-F;HLA-DQA1;HLA-DQB1;HLA-DPB1;HLA-A;HLA-E;IL1B;IFNG;HLA-C;HLA-B;FASLG;TNF;FAS;HLA-DOB;HLA-DMB;HLA-DOA;KLRC1;KLRD1;PRF1;CD28
KEGG_PROTEASOME	8.71381360513065e-15	2.76747740255536e-13	0.986546283587582	0.768695471450594	3.17838851225731	42	PSMB9;IFNG;PSMA4;PSMA7;PSMB8;PSMC3;PSMB1;PSMD2;PSMB3;PSMB10;PSMD13;PSMC4;PSME4;PSMC2;PSMD14;PSMC5;PSMB6;PSMB2;PSMA5;PSMB7;PSMA2;PSMB4;PSME2;PSMA1;PSMD12;PSMB5;PSMA3;PSMD7;PSMA6;PSMD4;PSMD11;PSMD8;PSMD6
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	1.10518881504968e-14	2.93664456570343e-13	0.986546283587582	0.721787000368861	3.14847560879132	51	HLA-DRB5;HLA-DQA2;HLA-DRB1;HLA-DRA;HLA-DMA;HLA-DPA1;C1QA;C1QB;C1QC;HLA-DQA1;HLA-DQB1;HLA-DPB1;C3;IFNG;C1S;FCGR3A;CD40;FCGR3B;TNF;ACTN1;HLA-DOB;C2;SNRPD1;FCGR2B;C1R;HLA-DMB;HLA-DOA;FCGR2A;ACTN2;SNRPB
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	1.42780567573712e-15	8.85239518957015e-14	1.01754479730988	0.664411979107486	3.11144790989785	72	HLA-DRB5;HLA-DQA2;HLA-DRB1;HLA-DRA;HLA-DMA;HLA-DPA1;HLA-F;HLA-DQA1;HLA-DQB1;HLA-DPB1;IFI30;CD74;HLA-A;TAP1;HLA-E;CD8A;HLA-C;CTSL;HLA-B;CTSB;B2M;CTSS;KLRC4;CD8B;CD4;HLA-DOB;HLA-DMB;RFXANK;HLA-DOA;CIITA;KLRC1;KLRC3;KLRD1;LGMN;PSME2;HSPA8
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	1.11419012618455e-11	1.88399421336661e-10	0.875325132024659	0.712318561696793	3.00509833958165	45	HLA-DRB5;HLA-DQA2;HLA-DRB1;HLA-DRA;HLA-DMA;HLA-DPA1;HLA-DQA1;ICOS;HLA-DQB1;HLA-DPB1;TNFSF13B;TNFRSF17;IL15;TNFSF13;CD40;ITGB7;CXCR4;HLA-DOB;HLA-DMB;HLA-DOA;IL15RA;TGFB1
KEGG_TYPE_I_DIABETES_MELLITUS	1.22265170418641e-11	1.89511014148894e-10	0.875325132024659	0.731957138214523	3.00036267996725	41	GZMB;HLA-DRB5;HLA-DQA2;HLA-DRB1;HLA-DRA;HLA-DMA;HLA-DPA1;HLA-F;HLA-DQA1;HLA-DQB1;HLA-DPB1;HLA-A;HLA-E;IL1B;IFNG;HLA-C;HLA-B;FASLG;TNF;FAS;HLA-DOB;HLA-DMB;HLA-DOA
KEGG_AUTOIMMUNE_THYROID_DISEASE	6.85234206523795e-10	9.10382588667327e-09	0.801215574617779	0.672544286549495	2.83730037020333	45	GZMB;HLA-DRB5;HLA-DQA2;HLA-DRB1;HLA-DRA;HLA-DMA;HLA-DPA1;HLA-F;HLA-DQA1;HLA-DQB1;HLA-DPB1;HLA-A;HLA-E;CD40;HLA-C;HLA-B;FASLG;FAS;HLA-DOB;HLA-DMB;HLA-DOA
KEGG_PRIMARY_IMMUNODEFICIENCY	1.4782580391114e-09	1.83303996849813e-08	0.788186810800237	0.708000840338812	2.81893207506178	35	CD3D;IGLL1;LCK;ICOS;CD79A;TAP1;CD8A;CD19;CD40;ZAP70;IL2RG;CD8B;ADA;CD4;RFXANK;BLNK;CIITA;IKBKG;BTK;PTPRC
KEGG_ASTHMA	5.79332064526377e-09	6.73473525011913e-08	0.761460801445585	0.747901361852622	2.77948729116686	28	HLA-DRB5;HLA-DQA2;HLA-DRB1;HLA-DRA;HLA-DMA;HLA-DPA1;HLA-DQA1;HLA-DQB1;HLA-DPB1;FCER1G;CD40;TNF;HLA-DOB;HLA-DMB;HLA-DOA
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	7.14051634818976e-14	1.47570671195922e-12	0.954541630725724	0.526411439272621	2.74481886516527	122	GZMB;ICAM1;LCK;HCST;HLA-A;CD247;PAK1;FCER1G;HLA-E;CD48;IFNG;VAV1;TYROBP;FCGR3A;LCP2;ZAP70;HLA-C;TNFSF10;HLA-B;IFNGR1;FASLG;FCGR3B;TNF;BID;RAC2;SH2D1A;GRB2;SYK;FAS;MICA;ITGB2;PTPN6;LAT;PLCG2;KLRC1;IFNGR2;IFNAR2;KLRC3;KLRD1;ICAM2;MAP2K2;PRF1;PIK3CG
KEGG_CELL_ADHESION_MOLECULES_CAMS	1.5380710961364e-13	2.86081223881370e-12	0.943632225232838	0.51576612632752	2.70954138986932	126	CDH3;HLA-DRB5;HLA-DQA2;CD2;HLA-DRB1;HLA-DRA;HLA-DMA;ICAM1;HLA-DPA1;PDCD1;HLA-F;HLA-DQA1;ICOS;HLA-DQB1;HLA-DPB1;HLA-A;HLA-E;CD8A;VCAM1;CD6;CD40;CD58;HLA-C;CD99;HLA-B;SDC1;ITGB7;CLDN7;CD274;CD8B;CD4;HLA-DOB;SELPLG;ITGB2;HLA-DMB;HLA-DOA;CLDN10;ICAM3;SPN
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	2.73781757748047e-10	3.9171851493182e-09	0.814035837847908	0.523256844514511	2.61927797966795	95	CXCL9;CXCL10;CCL4;CCL3;CCL5;CXCL11;TLR1;IL1B;STAT1;TLR2;CD40;TNF;LY96;LBP;CD14;FOS;SPP1;CTSK;TLR6;IKBKG;IFNAR2;IRAK1;JUN;MAP2K2;IRF3;PIK3CG;MAP3K7;MAPK1
