pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	3.20158207727459e-12	3.30296550972162e-10	0.898671232061694	0.748832838906349	3.13770233512738	38	PSMA4;PSMA7;PSMC3;ADRM1;PSMB1;PSMD2;PSMB3;PSMD13;PSMC4;PSMC2;PSMD14;PSMC5;PSMB6;PSMB2;PSMA5;UBA52;PSMB7;PSMA2;PSMB4;PSMA1;PSMD12;PSMB5;PSMA3;PSMD7;PSMA6;PSMD4;PSMD11;PSMD8;PSMD6;UBC;PSMD1;RPS27A;UBB
KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	8.40707474825469e-13	1.87879683264488e-10	0.921426003494898	0.76782394686844	3.12070485385501	35	PSMA4;PSMA7;PSMC3;ADRM1;PSMB1;PSMD2;PSMB3;PSMD13;PSMC4;PSMC2;PSMD14;PSMC5;PSMB6;PSMB2;PSMA5;PSMB7;PSMA2;PSMB4;PSMA1;PSMD12;PSMB5;PSMA3;PSMD7;PSMA6;PSMD4;PRNP;PSMD11;PSMD8;PSMD6
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	8.40707474825469e-13	1.87879683264488e-10	0.921426003494898	0.767805910437245	3.12063154749539	35	PSMA4;PSMA7;PSMC3;ADRM1;PSMB1;PSMD2;PSMB3;PSMD13;PSMC4;PSMC2;PSMD14;PSMC5;PSMB6;PSMB2;PSMA5;PSMB7;PSMA2;PSMB4;PSMA1;PSMD12;PSMB5;PSMA3;PSMD7;PSMA6;PSMD4;APP;PSMD11;PSMD8;PSMD6
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	9.90637048008714e-13	1.87879683264488e-10	0.910119734774459	0.742680032001848	3.11566553263208	39	PSMA4;PSMA7;PSMC3;ADRM1;PSMB1;PSMD2;PSMB3;PSMD13;PSMC4;PSMC2;PSMD14;PSMC5;PSMB6;PSMB2;PSMA5;UBA52;PSMB7;PSMA2;PSMB4;PSMA1;PSMD12;PSMB5;PSMA3;PSMD7;PSMA6;PSMD4;PSMD11;PSMD8;PSMD6;UBC;PSMD1;RPS27A;UBB
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	1.21408519072367e-12	1.87879683264488e-10	0.910119734774459	0.740761602515684	3.10761740373501	39	PSMA4;PSMA7;PSMC3;ADRM1;PSMB1;PSMD2;PSMB3;PSMD13;PSMC4;PSMC2;PSMD14;PSMC5;PSMB6;PSMB2;PSMA5;UBA52;PSMB7;PSMA2;PSMB4;PSMA1;PSMD12;PSMB5;PSMA3;PSMD7;PSMA6;PSMD4;PSMD11;PSMD8;PSMD6;UBC;PSMD1;RPS27A;UBB
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	1.75443061696084e-12	2.17198510379752e-10	0.910119734774459	0.739280204691158	3.10177086758743	40	PSMA4;PSMA7;PSMC3;ADRM1;PSMB1;PSMD2;PSMB3;PSMD13;PSMC4;PSMC2;PSMD14;PSMC5;PSMB6;PSMB2;PSMA5;UBA52;PSMB7;PSMA2;PSMB4;PSMA1;PSMD12;PSMB5;PSMA3;PSMD7;SOD1;PSMA6;PSMD4;PSMD11;PSMD8;PSMD6;UBC;PSMD1;RPS27A;UBB
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	6.11031742612254e-11	5.25697070507768e-09	0.839088935621274	0.732956648592305	2.9789919684795	35	PSMA4;PSMA7;PSMC3;ADRM1;PSMB1;PSMD2;PSMB3;PSMD13;PSMC4;PSMC2;PSMD14;PSMC5;PSMB6;PSMB2;PSMA5;PSMB7;PSMA2;PSMB4;PSMA1;PSMD12;PSMB5;PSMA3;PSMD7;PSMA6;PSMD4;PSMD11;PSMD8;PSMD6
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	7.81549186083463e-11	5.37532162428515e-09	0.839088935621274	0.731459802521993	2.97290826294237	35	PSMA4;PSMA7;PSMC3;ADRM1;PSMB1;PSMD2;PSMB3;PSMD13;PSMC4;PSMC2;PSMD14;PSMC5;PSMB6;PSMB2;PSMA5;PSMB7;PSMA2;PSMB4;PSMA1;PSMD12;PSMB5;PSMA3;PSMD7;PSMA6;PSMD4;PSMD11;PSMD8;PSMD6
KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES	6.79414630704708e-11	5.25697070507768e-09	0.839088935621274	0.930477928595871	2.76729457460859	13	HLA-DRB5;HLA-DQA2;HLA-DRB1;HLA-DRA;HLA-DMA;HLA-DPA1;HLA-DQA1;HLA-DQB1;HLA-DPB1;CD74;HLA-DOB;HLA-DMB;HLA-DOA
KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_NFY_MEDIATED_TRANSCRIPTION	1.62891184587946e-09	1.00829643259938e-07	0.788186810800237	0.907210444357362	2.69809574579254	13	HLA-DRB5;HLA-DQA2;HLA-DRB1;HLA-DRA;HLA-DMA;HLA-DPA1;HLA-DQA1;HLA-DQB1;HLA-DPB1;HLA-DOB;HLA-DMB;HLA-DOA
