pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_GRAFT_VERSUS_HOST_DISEASE	1.46310062522525e-15	5.44273432583795e-14	1.01754479730988	0.870684970857479	2.79316186517142	35	GZMB;HLA-F;HLA-DRA;HLA-DPA1;HLA-DRB5;HLA-DRB1;HLA-E;IFNG;HLA-DQA2;FASLG;HLA-A;HLA-DMA;HLA-DPB1;HLA-C;HLA-B;HLA-DQB1;HLA-DOB;HLA-DQA1;IL1B;KLRC1;TNF;PRF1;HLA-DMB;HLA-G;KLRD1;FAS;HLA-DOA;IL6;CD28
KEGG_LEISHMANIA_INFECTION	3.87366608586812e-16	2.40167297323823e-14	1.03769615548758	0.759805772760145	2.73526501867377	68	STAT1;HLA-DRA;HLA-DPA1;HLA-DRB5;HLA-DRB1;IFNG;HLA-DQA2;HLA-DMA;HLA-DPB1;HLA-DQB1;NCF1;NCF2;TLR2;HLA-DOB;FCGR3A;HLA-DQA1;IL1B;PRKCB;FCGR3B;CYBA;NCF4;TNF;C3;HLA-DMB;ITGB2;ITGAM;IFNGR1;FCGR2A;MAPK1;HLA-DOA;MYD88;JAK2;PTPN6;IL10;NFKBIB;IFNGR2;TLR4;ITGA4;NFKBIA;MAP3K7;NFKB1;MAPK13;MARCKSL1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	2.03930550047285e-24	3.79310823087951e-22	1.27903397725049	0.60898098323593	2.73381636733557	255	CCL18;CXCL9;CXCL13;TNFRSF17;CXCL10;CCL13;CCL5;CCL8;CXCL11;CD27;IL21R;CCR7;LTB;CCL4;IL2RB;CXCL1;CXCR3;CCL2;CCR5;CXCR6;CCL7;TNFSF13B;CCL17;CCL19;CCL3;XCL1;IFNG;XCL2;CCL3L3;FASLG;IL10RA;IL12RB2;CD70;IL2RG;CCR2;TNFRSF8;IL7R;TNFRSF21;TNFSF14;TNFSF10;IL18RAP;IL1B;IL2RA;CXCR4;TNFRSF4;IL15;CD40;IL18;TNF;OSM;PLEKHO2;IL15RA;CCR1;IL22RA2;CX3CL1;TNFRSF9;CXCR5;CCL21;IFNGR1;IFNAR2;FAS;CCL20;IL7;CXCL16;CCL11;CSF1R;IL17RA;VEGFA;IL6;RELT;IL6R;TNFSF13;CSF2RA;IFNL2;TNFRSF25;IL23A;IL3RA;TNFRSF13C;BMP7;IL10;IL1R2;TNFRSF1B;IFNGR2;TNFRSF6B;IL4R;TNFSF4
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	3.87484234704827e-15	1.20120112758496e-13	0.996986217533181	0.746546208628226	2.71926991707508	72	TAP1;HLA-F;HLA-DRA;HLA-DPA1;HLA-DRB5;HLA-DRB1;HLA-E;IFI30;HLA-DQA2;CD8A;HLA-A;HLA-DMA;HLA-DPB1;HLA-C;HLA-B;CD74;HLA-DQB1;HLA-DOB;CTSS;HLA-DQA1;KLRC1;B2M;CTSL;KLRC4;CD8B;KLRC2;CIITA;HLA-DMB;LGMN;HLA-G;KLRD1;CTSB;HLA-DOA;CD4;PSME2;KLRC3
KEGG_ALLOGRAFT_REJECTION	3.05162379338597e-13	7.09502531962238e-12	0.932595211336209	0.842304794452115	2.70211811328005	35	GZMB;HLA-F;HLA-DRA;HLA-DPA1;HLA-DRB5;HLA-DRB1;HLA-E;IFNG;HLA-DQA2;FASLG;HLA-A;HLA-DMA;HLA-DPB1;HLA-C;HLA-B;HLA-DQB1;HLA-DOB;HLA-DQA1;CD40;TNF;PRF1;HLA-DMB;HLA-G;FAS;HLA-DOA;CD28;IL10
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	2.81839903653153e-16	2.40167297323823e-14	1.03769615548758	0.661062806920669	2.6910012556207	122	GZMB;LCK;CD247;ICAM1;HCST;HLA-E;IFNG;FASLG;ZAP70;HLA-A;CD48;PLCG2;HLA-C;HLA-B;VAV1;SYK;LCP2;FCGR3A;SH2D1A;TNFSF10;FCER1G;KLRC1;PRKCB;FCGR3B;RAC2;TYROBP;TNF;ICAM2;KLRC2;LAT;PRF1;BID;ITGAL;ITGB2;IFNGR1;HLA-G;KLRD1;FYN;IFNAR2;FAS;MAPK1;PIK3CG;KLRC3;PTPN6;NCR3;KLRK1;IFNGR2;CASP3;PTK2B;CD244;SH2D1B
KEGG_PRIMARY_IMMUNODEFICIENCY	5.4182224118495e-12	1.11976596511556e-10	0.887074988399873	0.82457426888826	2.64523849606828	35	IGLL1;CD19;CD79A;CD3D;TAP1;LCK;ICOS;CD8A;ZAP70;IL2RG;IL7R;CD40;CD8B;CIITA;ADA;PTPRC;BTK;JAK3;BLNK;CD4;TNFRSF13C
KEGG_CELL_ADHESION_MOLECULES_CAMS	3.89558398450899e-14	1.03511231588382e-12	0.965327754226083	0.629676806501392	2.58278588373485	126	CD2;CDH3;PDCD1;ICOS;HLA-F;ICAM1;CD6;HLA-DRA;HLA-DPA1;HLA-DRB5;HLA-DRB1;HLA-E;HLA-DQA2;CD8A;HLA-A;ITGB7;HLA-DMA;HLA-DPB1;HLA-C;HLA-B;VCAM1;HLA-DQB1;SDC1;HLA-DOB;HLA-DQA1;CD274;SPN;CD40;CD8B;SELPLG;ICAM2;CTLA4;HLA-DMB;ITGAL;ITGB2;ITGAM;PTPRC;HLA-G;ICAM3;SELL;HLA-DOA;ITGA6;CD28;CD4;F11R;CLDN4;CD58;CD99;CD40LG;CLDN1;CD226;ITGA4;CLDN10;ITGA9;CLDN14;MPZL1;NFASC;CDH1;SIGLEC1;CD80
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	3.40883191649417e-11	6.34042736467917e-10	0.851339057116899	0.771968557872486	2.57938441041095	45	TNFRSF17;ICOS;TNFSF13B;HLA-DRA;HLA-DPA1;HLA-DRB5;HLA-DRB1;HLA-DQA2;ITGB7;HLA-DMA;HLA-DPB1;HLA-DQB1;HLA-DOB;HLA-DQA1;CXCR4;IL15;CD40;IL15RA;HLA-DMB;HLA-DOA;IL6;TNFSF13;CD28;TNFRSF13C;IL10
KEGG_TYPE_I_DIABETES_MELLITUS	1.04731493866895e-10	1.62333815493687e-09	0.839088935621274	0.780015451426289	2.55098262164125	41	GZMB;HLA-F;HLA-DRA;HLA-DPA1;HLA-DRB5;HLA-DRB1;HLA-E;IFNG;HLA-DQA2;FASLG;HLA-A;HLA-DMA;HLA-DPB1;HLA-C;HLA-B;HLA-DQB1;HLA-DOB;HLA-DQA1;IL1B;TNF;PRF1;HLA-DMB;HLA-G;FAS;HLA-DOA;CD28
KEGG_CHEMOKINE_SIGNALING_PATHWAY	5.69091895766215e-16	2.6462773153129e-14	1.02766987054358	0.589810013698742	2.51936103222159	183	CCL18;CXCL9;CXCL13;CXCL10;CCL13;CCL5;CCL8;CXCL11;CCR7;CCL4;STAT1;CXCL1;CXCR3;CCL2;CCR5;CXCR6;CCL7;CCL17;CCL19;CCL3;XCL1;XCL2;CCL3L3;VAV1;PRKX;NCF1;CCR2;LYN;PRKCB;CXCR4;RAC2;RASGRP2;TIAM2;HCK;ITK;FGR;CCR1;CX3CL1;GRK6;CXCR5;CCL21;ADCY7;JAK3;GNGT2;CCL20;MAPK1;CXCL16;CCL11;GNB4;PIK3CG;ARRB2;JAK2;CSK
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	3.93569401702796e-11	6.65490079242909e-10	0.851339057116899	0.714673763449921	2.51289287507961	60	CCL13;CCL5;CCL8;CXCL1;CCL2;CCL7;BIRC3;CASP1;PSTPIP1;IL1B;CASP5;IL18;TNF;TNFAIP3;CARD9;MAPK1;CCL11;RIPK2;IL6;CARD6;NOD2;NFKBIB;HSP90B1;CXCL2;NFKBIA;MAP3K7;NFKB1;NLRC4;MAPK13;NLRP3;NOD1;IKBKG;PYCARD;PYDC1
KEGG_AUTOIMMUNE_THYROID_DISEASE	6.52625756095491e-10	9.33756851028933e-09	0.801215574617779	0.748843094753192	2.50211512470606	45	GZMB;HLA-F;HLA-DRA;HLA-DPA1;HLA-DRB5;HLA-DRB1;HLA-E;HLA-DQA2;FASLG;HLA-A;HLA-DMA;HLA-DPB1;HLA-C;HLA-B;HLA-DQB1;HLA-DOB;HLA-DQA1;CD40;PRF1;CTLA4;HLA-DMB;HLA-G;FAS;HLA-DOA;CD28
KEGG_HEMATOPOIETIC_CELL_LINEAGE	7.70525449898075e-10	1.02369809772173e-08	0.801215574617779	0.634036910074959	2.40473451566769	84	CD38;CD19;CD2;CD3D;CD3G;HLA-DRA;HLA-DRB5;HLA-DRB1;CD8A;CD5;TFRC;IL7R;IL1B;CD14;IL2RA;CD37;TNF;CD8B;MS4A1;ITGAM;CD7;CD44;IL7;CSF1R;IL6;CR2;ITGA6;IL6R;CSF2RA;CD4;IL3RA;IL1R2;IL4R;CD1A;CD1B;ITGA4;CD33;FLT3LG;GP1BA;CD1E
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	2.89045493785771e-08	3.36015386525958e-07	0.73376198835648	0.69316665871529	2.39937994297557	51	C1QA;C1QB;HLA-DRA;HLA-DPA1;HLA-DRB5;HLA-DRB1;IFNG;HLA-DQA2;C1QC;HLA-DMA;HLA-DPB1;C2;HLA-DQB1;HLA-DOB;FCGR3A;HLA-DQA1;FCGR2B;FCGR3B;C1S;CD40;TNF;C3;HLA-DMB;C1R;FCGR2A;HLA-DOA;CD28;SNRPB;IL10;CD40LG;ACTN1;SNRPD3;ACTN4;TRIM21
