pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY	3.45029094613368e-08	1.06786504782837e-05	0.719512826338911	0.707895773766533	2.44629922121909	44	IL2RB;STAT1;IFNG;IL12RB2;IL2RG;IL7R;PIM1;IL2RA;IL15;IL15RA;IFNGR1;JAK3;IFNAR2;IL7;IL6;IL6R;JAK2;STAT5A;IL23A;IL3RA;STAT4;IFNGR2;IL4R;STAT2
KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES	1.4580511524388e-09	9.02533663359615e-07	0.788186810800237	0.936067069693168	2.37803919864259	13	HLA-DRA;HLA-DPA1;HLA-DRB5;HLA-DRB1;HLA-DQA2;HLA-DMA;HLA-DPB1;CD74;HLA-DQB1;HLA-DOB;HLA-DQA1;HLA-DMB;HLA-DOA
KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING	1.31972948686191e-06	0.00020422813809188	0.643551836150722	0.774606558148822	2.35552516697199	24	CCNE1;CDC45;CDT1;MCM5;MCM2;MCM6;MCM4;CCNA2;MCM3;ORC6;CCNE2;MCM7;TICRR;CDC7
KEGG_MEDICUS_REFERENCE_IL2_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY	2.56543757660272e-06	0.000317601171983417	0.627256739718528	0.773871333056117	2.32435556349467	23	IL21R;IL2RB;STAT1;IL2RG;IL7R;IL2RA;IL15;IL15RA;JAK3;IL7;STAT5A;IL4R
KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_NFY_MEDIATED_TRANSCRIPTION	7.1935091159978e-08	1.48426071426755e-05	0.704975715167238	0.90834747532352	2.30761872972993	13	HLA-DRA;HLA-DPA1;HLA-DRB5;HLA-DRB1;HLA-DQA2;HLA-DMA;HLA-DPB1;HLA-DQB1;HLA-DOB;HLA-DQA1;HLA-DMB;HLA-DOA
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	5.37158218089323e-06	0.00044180682238463	0.610526878385931	0.691456804833809	2.26461111140914	35	PSMD3;PSMB3;PSMB2;PSMD11;PSMD2;PSMA4;APP;PSMC2;PSMA3;PSMC4;PSMB4;ADRM1;PSMA7;PSMD14;PSMB5;PSMD7;PSMB6;PSMA5;PSMD12;PSMD8;PSMD13;PSMB1;PSMB7;PSMC3;PSMC1;PSMC5;PSMA6;PSMA2
KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	5.70994277718423e-06	0.00044180682238463	0.610526878385931	0.690444903996963	2.26129700434888	35	PSMD3;PSMB3;PSMB2;PSMD11;PSMD2;PSMA4;PSMC2;PSMA3;PSMC4;PSMB4;ADRM1;PSMA7;PSMD14;PSMB5;PSMD7;PSMB6;PSMA5;PSMD12;PSMD8;PSMD13;PSMB1;PSMB7;PRNP;PSMC3;PSMC1;PSMC5;PSMA6;PSMA2
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	1.58140587891237e-05	0.000889900217315232	0.575610261071129	0.67305711564292	2.24737324622583	39	PSMD3;PSMB3;PSMB2;VCP;PSMD11;PSMD2;PSMA4;PSMC2;PSMA3;PSMC4;PSMB4;ADRM1;PSMA7;PSMD14;PSMB5;PSMD7;PSMB6;PSMA5;PSMD12;PSMD8;PSMD13;PSMB1;PSMB7;PSMC3;UBA52;PSMC1;PSMC5;PSMA6;PSMA2;RPS27A;PSMD1;PSMD6;UBC
KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	7.93507744079747e-06	0.000545756992872626	0.593325476396405	0.669719115593283	2.2192360684931	38	PSMD3;PSMB3;PSMB2;PSMD11;PSMD2;PSMA4;PSMC2;PSMA3;PSMC4;PSMB4;ADRM1;PSMA7;PSMD14;PSMB5;PSMD7;PSMB6;PSMA5;PSMD12;PSMD8;PSMD13;PSMB1;PSMB7;PSMC3;UBA52;PSMC1;PSMC5;PSMA6;PSMA2;RPS27A;PSMD1;PSMD6;UBC
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	2.51114312919569e-05	0.00107015567549611	0.575610261071129	0.663440133360501	2.21526163461276	39	PSMD3;PSMB3;PSMB2;PSMD11;PSMD2;PSMA4;PSMC2;PSMA3;PSMC4;PSMB4;ADRM1;PSMA7;PSMD14;PSMB5;PSMD7;PSMB6;PSMA5;PSMD12;PSMD8;PSMD13;PSMB1;PSMB7;PSMC3;UBA52;PSMC1;PSMC5;PSMA6;PSMA2;RPS27A;PSMD1;PSMD6;UBC
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	3.00477851328923e-05	0.00116247368732877	0.575610261071129	0.641962099892954	2.16532624032286	40	PSMD3;PSMB3;PSMB2;PSMD11;PSMD2;PSMA4;PSMC2;PSMA3;PSMC4;PSMB4;ADRM1;PSMA7;PSMD14;PSMB5;PSMD7;PSMB6;DERL1;PSMA5;PSMD12;PSMD8;PSMD13;PSMB1;PSMB7;PSMC3;UBA52;PSMC1;PSMC5;PSMA6;PSMA2;RPS27A;PSMD1;PSMD6;UBC
KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION	9.43059707495004e-05	0.00277978075685432	0.538434096309916	0.674077610381142	2.16441989855765	30	CDC45;MCM10;MCM5;MCM2;MCM6;MCM4;RFC4;MCM3;RFC2;MCM7;PCNA;PRIM2;WDHD1;POLA2;RPA2;POLE3;GINS1;POLE2;RFC3;GINS4
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	4.08652410338077e-05	0.00148797554117218	0.557332238758646	0.652202178724078	2.13604709722799	35	PSMD3;PSMB3;PSMB2;PSMD11;PSMD2;PSMA4;PSMC2;PSMA3;PSMC4;PSMB4;ADRM1;PSMA7;PSMD14;PSMB5;PSMD7;PSMB6;PSMA5;PSMD12;PSMD8;PSMD13;PSMB1;PSMB7;PSMC3;PSMC1;PSMC5;PSMA6;PSMA2
KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY	0.000245417884201074	0.00607654681281861	0.49849310876659	0.752532582055824	2.12095365578823	19	CD3D;LCK;CD3G;CD247;ZAP70;PLCG2;VAV1;LCP2;LAT;FYN;CD4;ITPR3
KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNA12_13_RHO_SIGNALING_PATHWAY	6.82775366617496e-05	0.00215754786870704	0.538434096309916	0.828261988208218	2.10416490278888	13	CCL5;CCL4;CCL2;CCL3;CX3CL1
KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION	0.000136597008039468	0.00384334308983775	0.518848077743792	0.752665766678693	2.09821238142435	18	CDC45;MCM5;MCM2;MCM6;MCM4;MCM3;PIF1;MCM7;VCP;GINS1;GINS4;CUL2;LRR1;GINS3;GINS2;RBX1
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	6.97107550470773e-05	0.00215754786870704	0.538434096309916	0.638034965578248	2.08964762862277	35	PSMD3;PSMB3;PSMB2;PSMD11;PSMD2;PSMA4;PSMC2;PSMA3;PSMC4;PSMB4;ADRM1;PSMA7;PSMD14;PSMB5;PSMD7;PSMB6;PSMA5;PSMD12;PSMD8;PSMD13;PSMB1;PSMB7;PSMC3;PSMC1;PSMC5;PSMA6;PSMA2
KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	2.5392623649837e-05	0.00107015567549611	0.575610261071129	0.852481043338474	2.08817317965317	12	TAP1;HLA-F;HLA-E;HLA-A;HLA-C;HLA-B;B2M;HLA-G;CALR;TAP2;TAPBP
