pathway	pval	padj	overlap	size	overlapGenes	Pathway_Set	Significance
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.00710426225087335	0.513113216075774	1	25	MNX1	KEGG_LEGACY	Not Significant
KEGG_TYROSINE_METABOLISM	0.0110649764884294	0.513113216075774	1	39	PNMT	KEGG_LEGACY	Not Significant
KEGG_BLADDER_CANCER	0.0113474002442872	0.513113216075774	1	40	ERBB2	KEGG_LEGACY	Not Significant
KEGG_ENDOMETRIAL_CANCER	0.014731455277493	0.513113216075774	1	52	ERBB2	KEGG_LEGACY	Not Significant
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.0152945623960886	0.513113216075774	1	54	ERBB2	KEGG_LEGACY	Not Significant
KEGG_ADHERENS_JUNCTION	0.0189484861973527	0.513113216075774	1	67	ERBB2	KEGG_LEGACY	Not Significant
KEGG_PANCREATIC_CANCER	0.0195096642630983	0.513113216075774	1	69	ERBB2	KEGG_LEGACY	Not Significant
KEGG_ERBB_SIGNALING_PATHWAY	0.0242693171235001	0.513113216075774	1	86	ERBB2	KEGG_LEGACY	Not Significant
KEGG_PROSTATE_CANCER	0.0248280588423762	0.513113216075774	1	88	ERBB2	KEGG_LEGACY	Not Significant
KEGG_CALCIUM_SIGNALING_PATHWAY	0.0491605045177371	0.914385384029911	1	176	ERBB2	KEGG_LEGACY	Not Significant
KEGG_FOCAL_ADHESION	0.0543497695744228	0.919005194622059	1	195	ERBB2	KEGG_LEGACY	Not Significant
KEGG_PATHWAYS_IN_CANCER	0.0881923720989979	1	1	321	ERBB2	KEGG_LEGACY	Not Significant
KEGG_ABC_TRANSPORTERS	1	1	0	44		KEGG_LEGACY	Not Significant
KEGG_ACUTE_MYELOID_LEUKEMIA	1	1	0	57		KEGG_LEGACY	Not Significant
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1	1	0	66		KEGG_LEGACY	Not Significant
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	1	1	0	30		KEGG_LEGACY	Not Significant
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	1	1	0	41		KEGG_LEGACY	Not Significant
KEGG_ALLOGRAFT_REJECTION	1	1	0	35		KEGG_LEGACY	Not Significant
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	1	1	0	16		KEGG_LEGACY	Not Significant
KEGG_ALZHEIMERS_DISEASE	1	1	0	143		KEGG_LEGACY	Not Significant
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1	1	0	22		KEGG_LEGACY	Not Significant
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	1	1	0	42		KEGG_LEGACY	Not Significant
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	1	1	0	52		KEGG_LEGACY	Not Significant
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	1	1	0	72		KEGG_LEGACY	Not Significant
KEGG_APOPTOSIS	1	1	0	86		KEGG_LEGACY	Not Significant
KEGG_ARACHIDONIC_ACID_METABOLISM	1	1	0	54		KEGG_LEGACY	Not Significant
KEGG_ARGININE_AND_PROLINE_METABOLISM	1	1	0	51		KEGG_LEGACY	Not Significant
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1	1	0	73		KEGG_LEGACY	Not Significant
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	1	1	0	18		KEGG_LEGACY	Not Significant
KEGG_ASTHMA	1	1	0	28		KEGG_LEGACY	Not Significant
KEGG_AUTOIMMUNE_THYROID_DISEASE	1	1	0	45		KEGG_LEGACY	Not Significant
KEGG_AXON_GUIDANCE	1	1	0	127		KEGG_LEGACY	Not Significant
KEGG_BASAL_CELL_CARCINOMA	1	1	0	55		KEGG_LEGACY	Not Significant
KEGG_BASAL_TRANSCRIPTION_FACTORS	1	1	0	32		KEGG_LEGACY	Not Significant
KEGG_BASE_EXCISION_REPAIR	1	1	0	33		KEGG_LEGACY	Not Significant
KEGG_BETA_ALANINE_METABOLISM	1	1	0	22		KEGG_LEGACY	Not Significant
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	1	1	0	20		KEGG_LEGACY	Not Significant
KEGG_BUTANOATE_METABOLISM	1	1	0	33		KEGG_LEGACY	Not Significant
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	1	0	75		KEGG_LEGACY	Not Significant
KEGG_CARDIAC_MUSCLE_CONTRACTION	1	1	0	71		KEGG_LEGACY	Not Significant
