pathway	pval	padj	log2err	ES	NES	size	leadingEdge	adjPvalue
KEGG_MEDICUS_PATHOGEN_SARS_COV_2_S_TO_ANGII_AT1R_NOX2_SIGNALING_PATHWAY	0.000337900170189773	0.0796642184175214	0.49849310876659	0.808867234057163	2.06160677633923	13	MMP1;ACE2;MMP3;IL12A;CCL2;CYBB;IL6;IL1B	non-significant
KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNA12_13_RHO_SIGNALING_PATHWAY	0.00339098094299212	0.116612066872896	0.431707695803346	0.750025726006148	1.91163401613787	13	CCL3;CCL4;CCL2;CCL5	non-significant
KEGG_MEDICUS_REFERENCE_ATR_P21_CELL_CYCLE_G2_M	0.000532426322092414	0.082392973343801	0.477270815362862	0.836912414767672	1.90805389102066	9	CDK1;CCNB2;CCNB3;CCNB1;CHEK1	non-significant
KEGG_MEDICUS_REFERENCE_CROSSTALK_BETWEEN_EXTRINSIC_AND_INTRINSIC_APOPTOTIC_PATHWAYS	0.001424366864777	0.11021038616212	0.45505986738723	0.720225082518773	1.90415036034879	15	TNFSF10;CASP7;FASLG;BID;CASP8;CASP3;CASP10	non-significant
KEGG_MEDICUS_PATHOGEN_HIV_VPR_TO_CDC25_CELL_CYCLE_G2M	0.000383228038035093	0.0796642184175214	0.49849310876659	0.813762013214109	1.8998255427368	10	CDK1;CCNB2;CCNB3;CCNB1;CHEK1	non-significant
KEGG_MEDICUS_REFERENCE_MDM2_P21_CELL_CYCLE_G1_S_N00536	0.00085439987847857	0.0932390664513196	0.477270815362862	0.783581061633209	1.8973822713186	11	CCNE1;E2F1;CCNE2;E2F2;E2F3	non-significant
KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_P27_CELL_CYCLE_G1_S_N00264	0.00100298769422608	0.0932390664513196	0.45505986738723	0.779918942150639	1.88851472599126	11	CCNE1;E2F1;CCNE2;SKP2;CCNA2;E2F2;E2F3	non-significant
KEGG_MEDICUS_REFERENCE_WEE1_CELL_CYCLE_G2_M	0.000386094758081687	0.0796642184175214	0.49849310876659	0.880883969503755	1.88796351987077	7	CDK1;CCNB2;CCNB3;CCNB1;CHEK1	non-significant
KEGG_MEDICUS_REFERENCE_NAD_BIOSYNTHESIS	0.00237334571820034	0.113795280016397	0.431707695803346	0.759829840196139	1.88440994645583	12	KMO;KYNU;TDO2;IDO1;QPRT	non-significant
KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	0.0026681676915633	0.113795280016397	0.431707695803346	0.754152847554043	1.87033076604622	12	HLA-E;HLA-C;HLA-B;CALR;TAP1;HLA-G;B2M;HLA-F;HLA-A;PDIA3	non-significant
KEGG_MEDICUS_REFERENCE_CDC25_CELL_CYCLE_G2_M	0.00105439978216355	0.0932390664513196	0.45505986738723	0.790735038116052	1.84606629279286	10	CDK1;CCNB2;CCNB3;CHEK2;CCNB1;CHEK1	non-significant
KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_P21_CELL_CYCLE_G1_S_N00497	0.00193724087554477	0.113795280016397	0.45505986738723	0.808543718588228	1.84337687085315	9	CCNE1;E2F1;CCNE2;E2F2;E2F3	non-significant
KEGG_MEDICUS_VARIANT_AMPLIFIED_MYC_TO_P27_CELL_CYCLE_G1_S	0.00312523386151656	0.113795280016397	0.431707695803346	0.69659058904991	1.84166485359858	15	CCNE1;E2F1;CCNE2;CKS1B;SKP2;RBX1;E2F2;E2F3	non-significant
KEGG_MEDICUS_REFERENCE_DEPHOSPHORYLATION_OF_KINETOCHORE	0.00465162023547784	0.125189257641773	0.407017918923954	0.736797218313384	1.82728807590963	12	TTK;SKA3;NDC80;NUF2;AURKB;SKA2;SPC25;SKA1;SPC24	non-significant
KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_P27_CELL_CYCLE_G1_S_N00482	0.00273042785313844	0.113795280016397	0.431707695803346	0.798195335104376	1.81978387232221	9	CCNE1;E2F1;CCNE2;CCNA2;E2F2;E2F3	non-significant
KEGG_MEDICUS_REFERENCE_P27_CELL_CYCLE_G1_S	0.00560515558075252	0.127800087538245	0.407017918923954	0.695375722877449	1.81394405468343	14	CCNE1;E2F1;CCNE2;SKP2;RBX1;CCNA2;E2F2;E2F3	non-significant
KEGG_MEDICUS_REFERENCE_CENPE_INTERACTION_WITH_NDC80_COMPLEX	0.00303127253441284	0.113795280016397	0.431707695803346	0.745527252440013	1.80523785071606	11	SPAG5;AURKA;NDC80;NUF2;CENPE;AURKB;SPC25;SPC24	non-significant
KEGG_MEDICUS_VARIANT_ERBB2_OVEREXPRESSION_TO_EGF_JAK_STAT_SIGNALING_PATHWAY	0.00288014647189475	0.113795280016397	0.431707695803346	0.839987975035137	1.80031276410882	7	ERBB2;STAT1;VEGFA;EGF	non-significant
KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_P21_CELL_CYCLE_G1_S_N00498	0.00404977010884832	0.125189257641773	0.407017918923954	0.808618412006409	1.79639581517519	8	CCNE1;E2F1;CCNE2;E2F2;E2F3	non-significant
KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE	0.00753712351711611	0.150499337325641	0.407017918923954	0.655017588616864	1.7779675089352	16	ZWINT;CDCA8;BIRC5;NDC80;NUF2;AURKB;INCENP;SPC25;SPC24	non-significant
KEGG_MEDICUS_PATHOGEN_HPV_E7_TO_P27_CELL_CYCLE_G1_S	0.00450947381217637	0.125189257641773	0.407017918923954	0.829436857429791	1.77769897407245	7	CCNE1;E2F1;CCNE2;E2F2;E2F3	non-significant
KEGG_MEDICUS_PATHOGEN_HTLV_1_P12_TO_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	0.00514910542991085	0.127491850444593	0.407017918923954	0.826225769669327	1.77081677759625	7	HLA-E;HLA-C;HLA-B;HLA-G;B2M;HLA-F;HLA-A	non-significant
KEGG_MEDICUS_VARIANT_LOSS_OF_CDKN1B_TO_P27_CELL_CYCLE_G1_S	0.00578094095488023	0.127800087538245	0.407017918923954	0.796276964193603	1.76897852554272	8	CCNE1;E2F1;CCNE2;E2F2;E2F3	non-significant
